[04-Sep-2020 10:01:54 UTC] PHP Fatal error:  Cannot redeclare lpt_rewrite_flush() (previously declared in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/custom-post-types.php:25) in /Users/navdeepsingh/Projects/wp-learning/wp-content/themes/twentynineteen-child-theme/functions.php on line 59
[04-Sep-2020 10:01:55 UTC] PHP Fatal error:  Cannot redeclare lpt_rewrite_flush() (previously declared in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/custom-post-types.php:25) in /Users/navdeepsingh/Projects/wp-learning/wp-content/themes/twentynineteen-child-theme/functions.php on line 59
[04-Sep-2020 10:06:18 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 8
[04-Sep-2020 10:06:18 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 9
[04-Sep-2020 10:06:18 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 10
[04-Sep-2020 10:06:18 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 11
[04-Sep-2020 10:06:18 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 12
[04-Sep-2020 10:06:18 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 13
[04-Sep-2020 10:06:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 8
[04-Sep-2020 10:06:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 9
[04-Sep-2020 10:06:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 10
[04-Sep-2020 10:06:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 11
[04-Sep-2020 10:06:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 12
[04-Sep-2020 10:06:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 13
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 8
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 9
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 10
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 11
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 12
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 13
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 8
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 9
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 10
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 11
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 12
[04-Sep-2020 10:07:16 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 13
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 8
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 9
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 10
